transaction_id,transaction_date,value_date,account_id,customer_id,transaction_type,amount,running_balance,description,reference_number,channel,merchant_name,merchant_category_code,is_debit,status,currency,exchange_rate
af11cd73-6463-47fd-bae1-ae7bcf9bce3b,2018-03-22,2018-03-22,4c821eef-220b-4049-905b-2db203a164d4,99bb606a-d40c-4df5-9890-d18086d5f335,POS,1977.39,-2087.28,Vodacom,REF322868309,Online,Vodacom,5311,True,Completed,ZAR,1.0
b45f2041-19f7-4445-8882-b3bf41aa9391,2018-12-04,2018-12-06,8e22453b-2b42-47dd-8189-41c7aee22c34,50f6d663-1915-47b1-87fd-38c31e37a363,Fee,484.12,488.63,Fee - grow end-to-end supply-chains,REF844470084,Mobile,,,True,Completed,ZAR,1.0
c6b3215f-218a-4c7c-8bec-7d0fbe790edc,2022-05-18,2022-05-19,17591bfe-1e2c-46e9-9634-e89fbaf9a739,d652bd9c-9352-4d5f-a454-cdcd83f77bcb,Online Purchase,3939.43,-2089.39,BP SA,REF740144038,ATM,BP SA,8011,True,Completed,ZAR,1.0
56a2037e-7f58-4ce6-8dcd-82e4298988a2,2018-02-20,2018-02-21,2d4d11f7-4e65-4c67-9c26-f4bd3854f44a,bc102d0c-3acf-4601-878f-8dfa75aa8f45,Online Purchase,19500.27,-15813.73,MTN,REF916719856,Online,MTN,5734,True,Completed,ZAR,1.0
9072d8f9-59fe-4a5b-9b5d-eeeb38c4eb6c,2021-02-02,2021-02-04,87d3bdce-ac09-42f6-af49-2edfb0dab510,9fae9dde-abd5-48cd-90df-e0d091beca4e,Internal Transfer,11822.34,41317.86,Internal Transfer - disintermediate user-centric paradigms,REF443183534,Branch,,,False,Completed,ZAR,1.0
133e77b7-6292-44ed-acb5-f7e1f8784d24,2018-04-17,2018-04-18,87d3bdce-ac09-42f6-af49-2edfb0dab510,9fae9dde-abd5-48cd-90df-e0d091beca4e,Online Purchase,19845.05,21472.81,KFC SA,REF801247280,Branch,KFC SA,5621,True,Completed,ZAR,1.0
d1785298-0da7-486d-a784-09ef67051ca9,2020-01-08,2020-01-10,ca560f5b-2001-4cdc-a763-ae7550420379,76b85659-01fe-405a-84a4-11f51d8dba1b,EFT,464546.94,489590.68,EFT - incentivize best-of-breed e-business,REF691193027,Mobile,,,False,Completed,ZAR,1.0
76e5f8f1-4f78-4246-bfd2-71deea228acf,2023-10-05,2023-10-05,1afc9451-6452-4115-9d68-b11913ccb6dd,0e35e1c3-d868-43bc-bb7a-d750d53414b9,EFT,289490.02,-286165.7,EFT - orchestrate rich platforms,REF357540675,ATM,,,True,Completed,ZAR,1.0
6a78facf-2ecc-47fb-b179-5b045a12bf45,2023-07-09,2023-07-09,f8a4dc98-7a81-47c8-aaf2-082ae5b61c61,122bed0b-4808-451c-bd47-58db96f860bc,Interest,4878.68,9778.21,Interest - orchestrate extensible schemas,REF238220379,ATM,,,False,Completed,ZAR,1.0
7d1cc78b-513d-46d1-9e90-a87aba7cdb9e,2018-02-25,2018-02-25,b84038fb-ab05-45ae-bf42-0b064b9a7fb2,e0b5f00e-16ba-45c5-a3b3-a04b555efc7c,Online Purchase,4009.59,28967.06,McDonald's SA,REF972884032,Branch,McDonald's SA,5541,True,Completed,ZAR,1.0
7ce19494-213f-4c8b-ab70-9fa931ecbd99,2022-01-30,2022-01-30,562742d0-bd33-4cc0-9193-454a4a62c33c,c39e3656-040a-45bc-a4f4-b3d763b675a8,EFT,111048.15,-233295.23,EFT - synthesize mission-critical bandwidth,REF211287709,Mobile,,,True,Completed,ZAR,1.0
e11c5498-3abd-418d-8e8a-ab9c91a6afec,2019-05-03,2019-05-03,98adb0b9-2ff2-40fe-8c56-52fce871adcb,bc8c5479-2c80-4d0c-a1c8-dff8c7e77791,POS,3324.0,10027.67,Truworths,REF129092700,Online,Truworths,5945,True,Completed,ZAR,1.0
b05b0f9c-2035-46ef-a792-39522b1fea9b,2016-09-20,2016-09-21,f51fab0c-b6f1-4627-96eb-f77a8e93c249,9a9d31d4-f9f8-4cf1-9cd8-0ab438e86ec7,Internal Transfer,61097.18,-102145.22,Internal Transfer - leverage distributed communities,REF117345954,API,,,True,Completed,ZAR,1.0
5b940589-2dca-45ca-90a9-b21ff26038c0,2018-06-25,2018-06-25,e3db2750-f26e-4c8b-9584-43a53a2bfde4,e0b5f00e-16ba-45c5-a3b3-a04b555efc7c,EFT,129289.9,51660.73,EFT - empower bricks-and-clicks convergence,REF931916640,Online,,,False,Completed,ZAR,1.0
84c8045d-439c-4e35-8d27-f865ac5d1609,2019-11-19,2019-11-20,75d167cd-b2a3-4603-b9e8-90f9e4e7dae4,445d1261-31b5-4737-96e9-9f67918894a2,ATM Withdrawal,2538.12,-50913.13,ATM Withdrawal - optimize virtual bandwidth,REF560357547,Mobile,,,True,Completed,ZAR,1.0
f89ffc6a-9541-4065-bbd5-32ece43f30da,2020-03-29,2020-03-29,db2a1018-04fc-4b89-bded-9d908c281204,2ea14f7d-a56a-4f64-86f9-a70de9fdfd34,POS,2599.73,-18101.04,Amazon SA,REF264102030,Mobile,Amazon SA,4814,True,Completed,ZAR,1.0
15445c03-1c2c-4f47-b905-26a1f1a6b57e,2023-04-12,2023-04-12,54e7453d-5075-4b60-bfd5-2259f604822e,d29864d0-31fd-4f9f-883a-7f503b38f90f,Online Purchase,7804.53,-4471.18,Rain,REF611779643,USSD,Rain,5945,True,Completed,ZAR,1.0
a63a12a4-d74d-4d1a-b41c-8e89e797e957,2021-10-18,2021-10-19,09583ae5-4e4e-48d3-ad15-282028d75c69,ee6f77ce-459c-42e0-aee7-42d3ef45e6e5,Debit Order,7363.55,30777.21,Debit Order - syndicate dot-com systems,REF558080314,Online,,,True,Completed,ZAR,1.0
bf0c027f-1a17-4c9d-a389-76a75f46f400,2020-08-24,2020-08-24,c369a6c2-6e14-4f3a-ad8b-d691e499d2a7,94a3fefa-e23a-42f5-927c-f729e92aef60,ATM Withdrawal,767.1,1342.97,ATM Withdrawal - embrace holistic paradigms,REF483243474,Mobile,,,True,Pending,ZAR,1.0
e8dcd1e0-2795-4750-9e7c-e155c445198a,2020-06-11,2020-06-11,78b8f910-834a-45f3-9cde-a9af5b39c3c7,4af379b7-a754-4e27-8034-84548f1160fc,POS,1065.54,1832.68,Superbalist,REF695661925,Mobile,Superbalist,5411,True,Completed,ZAR,1.0
