ticker,price_date,close_price_cents
NPN,2025-11-14,3469.27
NPN,2025-11-17,3470.25
NPN,2025-11-18,3464.58
NPN,2025-11-19,3649.8
NPN,2025-11-20,3702.65
NPN,2025-11-21,3802.05
NPN,2025-11-24,3780.51
NPN,2025-11-25,3889.53
NPN,2025-11-26,3884.35
NPN,2025-11-27,3860.03
NPN,2025-11-28,3896.01
NPN,2025-12-01,3867.05
NPN,2025-12-02,3857.74
NPN,2025-12-03,3734.13
NPN,2025-12-04,3728.64
NPN,2025-12-05,3637.65
NPN,2025-12-08,3712.17
NPN,2025-12-09,3814.28
NPN,2025-12-10,3847.12
NPN,2025-12-11,3797.4
NPN,2025-12-12,3644.69
NPN,2025-12-15,3681.96
NPN,2025-12-16,3741.73
NPN,2025-12-17,3736.98
NPN,2025-12-18,3606.7
NPN,2025-12-19,3806.07
NPN,2025-12-22,3830.08
NPN,2025-12-23,3787.31
NPN,2025-12-24,3787.22
NPN,2025-12-25,3957.73
NPN,2025-12-26,3902.9
NPN,2025-12-29,3910.45
NPN,2025-12-30,3910.06
NPN,2025-12-31,3846.79
NPN,2026-01-01,3836.19
NPN,2026-01-02,3840.56
NPN,2026-01-05,3820.17
NPN,2026-01-06,3757.23
NPN,2026-01-07,3860.1
NPN,2026-01-08,3761.99
NPN,2026-01-09,3804.02
NPN,2026-01-12,3836.56
NPN,2026-01-13,3768.1
NPN,2026-01-14,3841.39
NPN,2026-01-15,3845.97
NPN,2026-01-16,3845.91
NPN,2026-01-19,3789.34
NPN,2026-01-20,3809.71
NPN,2026-01-21,3817.76
NPN,2026-01-22,3847.47
NPN,2026-01-23,3837.3
NPN,2026-01-26,3708.01
NPN,2026-01-27,3691.38
NPN,2026-01-28,3630.26
NPN,2026-01-29,3469.31
NPN,2026-01-30,3414.09
NPN,2026-02-02,3291.35
NPN,2026-02-03,3295.92
NPN,2026-02-04,3314.48
NPN,2026-02-05,3325.68
NPN,2026-02-06,3347.14
NPN,2026-02-09,3421.65
NPN,2026-02-10,3417.83
NPN,2026-02-11,3298.66
NPN,2026-02-12,3313.78
NPN,2026-02-13,3252.42
NPN,2026-02-16,3276.91
NPN,2026-02-17,3320.76
NPN,2026-02-18,3353.48
NPN,2026-02-19,3445.21
NPN,2026-02-20,3516.31
NPN,2026-02-23,3569.26
NPN,2026-02-24,3552.01
NPN,2026-02-25,3604.3
NPN,2026-02-26,3584.29
NPN,2026-02-27,3558.59
NPN,2026-03-02,3627.82
NPN,2026-03-03,3645.33
NPN,2026-03-04,3782.94
NPN,2026-03-05,3802.56
NPN,2026-03-06,3886.82
NPN,2026-03-09,3869.44
NPN,2026-03-10,3892.88
NPN,2026-03-11,3887.08
NPN,2026-03-12,3859.15
NPN,2026-03-13,3902.13
NPN,2026-03-16,3854.58
NPN,2026-03-17,3952.72
NPN,2026-03-18,4049.89
NPN,2026-03-19,4154.17
NPN,2026-03-20,4075.3
NPN,2026-03-23,4058.34
NPN,2026-03-24,4002.27
NPN,2026-03-25,3877.0
NPN,2026-03-26,3953.48
NPN,2026-03-27,3835.09
NPN,2026-03-30,3690.27
NPN,2026-03-31,3612.82
NPN,2026-04-01,3490.63
NPN,2026-04-02,3382.47
NPN,2026-04-03,3350.72
NPN,2026-04-06,3288.55
NPN,2026-04-07,3284.38
NPN,2026-04-08,3272.6
NPN,2026-04-09,3240.45
NPN,2026-04-10,3118.93
NPN,2026-04-13,3119.04
NPN,2026-04-14,3193.25
NPN,2026-04-15,3275.95
NPN,2026-04-16,3189.75
NPN,2026-04-17,3343.98
NPN,2026-04-20,3449.37
NPN,2026-04-21,3535.56
NPN,2026-04-22,3478.67
NPN,2026-04-23,3380.66
NPN,2026-04-24,3422.36
NPN,2026-04-27,3369.32
NPN,2026-04-28,3404.32
NPN,2026-04-29,3312.5
NPN,2026-04-30,3261.22
NPN,2026-05-01,3178.6
NPN,2026-05-04,3213.66
NPN,2026-05-05,3171.43
NPN,2026-05-06,3224.72
NPN,2026-05-07,3193.45
NPN,2026-05-08,3175.42
NPN,2026-05-11,3134.63
NPN,2026-05-12,3191.24
NPN,2026-05-13,3248.2
NPN,2026-05-14,3224.68
NPN,2026-05-15,3209.11
NPN,2026-05-18,3216.05
NPN,2026-05-19,3202.48
NPN,2026-05-20,3208.47
NPN,2026-05-21,3224.9
NPN,2026-05-22,3194.87
NPN,2026-05-25,3230.95
NPN,2026-05-26,3287.62
NPN,2026-05-27,3205.73
NPN,2026-05-28,3238.67
NPN,2026-05-29,3256.39
NPN,2026-06-01,3149.06
NPN,2026-06-02,3200.97
NPN,2026-06-03,3311.91
NPN,2026-06-04,3307.42
NPN,2026-06-05,3262.19
NPN,2026-06-08,3312.32
NPN,2026-06-09,3314.85
NPN,2026-06-10,3247.45
NPN,2026-06-11,3229.2
NPN,2026-06-12,3118.08
NPN,2026-06-15,3300.63
NPN,2026-06-16,3297.83
NPN,2026-06-17,3280.33
NPN,2026-06-18,3346.08
NPN,2026-06-19,3251.59
NPN,2026-06-22,3276.85
NPN,2026-06-23,3127.75
NPN,2026-06-24,3174.27
NPN,2026-06-25,3255.74
NPN,2026-06-26,3219.26
NPN,2026-06-29,3279.0
NPN,2026-06-30,3372.51
NPN,2026-07-01,3368.55
NPN,2026-07-02,3323.21
NPN,2026-07-03,3372.66
NPN,2026-07-06,3453.08
NPN,2026-07-07,3602.67
NPN,2026-07-08,3564.17
NPN,2026-07-09,3663.8
