card_transaction_id,transaction_date,posting_date,account_id,customer_id,card_brand,card_type,card_last_four,transaction_type,amount,currency,exchange_rate,amount_zar,merchant_name,merchant_category_code,merchant_category_name,merchant_city,merchant_country,is_international,authorization_code,status,is_contactless,is_chip
b600cdd2-a0d0-42bd-94be-88493bd66e3d,2021-10-16,2021-10-17,eb488e77-92b6-4933-ba76-67a314f849d7,d008e9b4-a86d-491e-bb43-dcf5c491c1cc,Visa,Debit,8744,Contactless Payment,4482.35,ZAR,1.0,4482.35,Spar,5945,Hobby & Toy Shops,Martinton,ZA,False,AUTH598231,Reversed,True,True
3ee2defb-306c-4f63-b422-07f30aaaa58c,2019-04-08,2019-04-08,9c7e2c81-a85b-4300-a99b-6edfbfd42cfe,2b230825-6b17-4ffe-9620-5f77ec1c9594,Visa,Debit,8956,Purchase,6094.23,ZAR,1.0,6094.23,Vodacom,4111,Transportation,Rustenburg,ZA,False,AUTH929979,Approved,False,True
2c47763d-8ce0-4503-ae0d-ea615d262602,2018-10-08,2018-10-08,88fcd419-afb8-498a-8393-2030dc1539b7,96a0dd93-d9ee-4528-9173-61228081da8c,Mastercard,Debit,6914,Online Purchase,5017.43,ZAR,1.0,5017.43,Virgin Active,4816,Online Services,Benoni,ZA,False,AUTH716230,Approved,False,True
8d08f64b-a5ea-4ed4-8455-d73096c54e28,2017-03-30,2017-04-01,f75c54cf-e16c-4fc0-b3ae-a93a591a7503,4ea440d8-ce17-45ae-9037-e5677b3c173e,Mastercard,Credit,3593,Contactless Payment,1024.39,ZAR,1.0,1024.39,Dischem,5411,Grocery Stores,Kathu,ZA,False,AUTH667894,Approved,True,True
258cc39f-8205-461a-a9e3-9259abd78090,2016-03-09,2016-03-11,8fd4a71b-f5a9-4402-8203-5dcbcb3e2d8b,97ddac20-2ab1-412a-aa23-deabd20e4497,Mastercard,Credit,1765,Cash Advance,4240.35,ZAR,1.0,4240.35,BP SA,5661,Shoe Stores,Mahikeng,ZA,False,AUTH796932,Approved,False,True
7b78bbec-ab5a-4f32-8ad1-99b2a67b628e,2023-08-04,2023-08-05,2e9fadba-1c18-4053-b20a-30f32b47e2c1,5695af93-72f8-45b0-8581-09cf6b0fd54d,Mastercard,Credit,4787,Purchase,13902.66,ZAR,1.0,13902.66,Pioneer Foods,5621,Women's Clothing Stores,Randfontein,ZA,False,AUTH627629,Approved,False,True
95a7ba48-7ca1-469d-871c-c415e772f7d0,2016-03-21,2016-03-21,2f40bed9-acd6-44b5-b602-97d39a9dc3a7,01137316-1352-488d-a263-adc17ec0076e,Mastercard,Debit,3841,Purchase,6407.11,ZAR,1.0,6407.11,Eskom,5999,Retail Stores,Stellenbosch,ZA,False,AUTH186394,Approved,False,True
67a337de-c314-4692-8b06-5d1a0cff715f,2021-12-30,2022-01-01,2d1a95ad-70c8-4da0-9425-cbcf269d5d92,1e1c0a15-403d-4187-8c88-eabcdf85a18b,Mastercard,Debit,7194,Purchase,9903.77,ZAR,1.0,9903.77,Pioneer Foods,4111,Transportation,eGoli,ZA,False,AUTH597294,Approved,False,False
8dd4b0f0-9a22-4013-8df7-a6a6d01e8712,2020-01-26,2020-01-27,bf8cac5f-dc55-4b58-9a74-a337e8826ca8,eaf88bf2-93bd-40fc-bc6a-c6a64d63c873,Visa,Debit,1747,Chargeback,8852.58,ZAR,1.0,8852.58,Planet Fitness,4814,Telecommunications,Kathrynview,ZA,False,AUTH579097,Approved,False,True
aaebc61a-5c31-4a4c-8878-24813b4998fe,2016-03-18,2016-03-18,199fc55c-040a-4422-82b2-ea48bcd49d87,01137316-1352-488d-a263-adc17ec0076e,Visa,Debit,8708,Purchase,7779.07,ZAR,1.0,7779.07,Steers,5621,Women's Clothing Stores,Paarl,ZA,False,AUTH797850,Approved,False,True
